PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,postCourses,183,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__primary_enroll_code_has_one_secondary()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,postCourses,191,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__primary_enroll_code_has_one_secondary()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,165,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,166,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,167,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,169,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,173,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,174,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,175,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,186,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__section_order_in_json_does_not_matter()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,187,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__section_order_in_json_does_not_matter()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,188,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__section_order_in_json_does_not_matter()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,198,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__unexpected_ucsb_api_response_assumes_primary_course()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,199,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__unexpected_ucsb_api_response_assumes_primary_course()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postCourses,200,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__unexpected_ucsb_api_response_assumes_primary_course()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postCourses,180,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__replaces_previous_secondary_section()]
PSCourseController.java,edu.ucsb.cs156.courses.controllers.PSCourseController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postCourses,204,KILLED,edu.ucsb.cs156.courses.controllers.PSCourseControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.courses.controllers.PSCourseControllerTests]/[method:api_courses_post__user_logged_in__unexpected_ucsb_api_response_assumes_primary_course()]
